Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes,Latitude,Longitude
C Scheme,Bhookh Adda,"Opposite Dr. Roy Chowdhury Hospital, Bhawani Singh Road, C Scheme, Jaipur",Quick Bites,500,"North Indian, Chinese, Fast Food, Beverages",3.1,27,26.901739399999997,75.79692440000001
C Scheme,Fifty One Shades Of Pink - SUJÁN Rajmahal Palace Hotel,"SUJÁN Rajmahal Palace Hotel, Sardar Patel Marg, C Scheme, Jaipur",Fine Dining,3000,"Continental, Rajasthani",3.6,28,26.906079100000003,75.7914162
C Scheme,Indiana,"J2/ 34, Mahaveer Marg, C Scheme, Jaipur",Casual Dining,800,"North Indian, Mughlai",3.3,33,26.9145516,75.8129474
C Scheme,Juugad Cafe,"B-7A, Durgadas Colony, Subhash Marg, C Scheme, Jaipur",Casual Dining,600,"North Indian, Chinese, Beverages",3.4,23,26.909270199999998,75.80021339999998
C Scheme,Flavorsome Feasts,"Plot 8, Ground Floor, Golden Empire Apartments, Mahavir Marg, C Scheme, Jaipur",,600,"Italian, Chinese, Fast Food, North Indian, Beverages",3.7,39,26.9108605,75.8111308
C Scheme,Love Over Coffee,"F 5, Jamnalal Bajaj Marg, Ashok Naga, C Scheme, Jaipur",Café,400,"Cafe, Italian",,,26.906796000000003,75.79522790000001
C Scheme,Kings Kulfi,"Ground Floor, Crystal Palm Mall, Sardar Patel Road, Bais Godam, Jaipur",Dessert Parlor,200,Ice Cream,3.6,34,26.9085538,75.7943489
C Scheme,Kanha Food Court,"Shop 5, 6, Near S.M.S Hospital, C Scheme, Jaipur",Quick Bites,400,"North Indian, Fast Food, Chinese, South Indian, Beverages",3.6,28,26.912258299999998,75.8005896
C Scheme,Jaipur Wok,"Shop 8, Opposite Mahaveer College Of Commerce, Sangram Colony, Mahaveer Marg, C Scheme, Jaipur",Quick Bites,400,"Chinese, Fast Food, Beverages",3.8,19,26.9100511,75.80973130000002
C Scheme,Thali-N-Platters,"D 28, Subhash Marg, C Scheme, Jaipur",,300,North Indian,3.9,34,26.910926,75.80567900000001
C Scheme,The Crust,"13 & 14, Near Bagadia Bhawan, C Scheme, Jaipur","Bakery, Quick Bites",200,"Bakery, Fast Food",3.4,30,26.907278700000003,75.798097
C Scheme,Kanha Bakeology,"E 62, Basement Floor, Bhagatsingh Marg, C Scheme, Jaipur",Bakery,450,Bakery,3.6,34,26.912258299999998,75.8005896
C Scheme,Curious Life Coffee Roasters- Deer Park,"P 25, Yudhister Marg, Opposite Deer Park, C Scheme, Jaipur",Café,500,Cafe,3.7,22,26.904055800000002,75.79712679999999
C Scheme,Hungry-Head,"Shop 7, Gate 2, Mahaveer Marg, Opposite Mahaveer College, C Scheme, Jaipur",Quick Bites,300,"Fast Food, Chinese, Momos",3.6,24,26.9092106,75.81002099999998
C Scheme,Shree Nath Pav Bhaji,"10, Sarojini Marg, C Scheme, Jaipur",Quick Bites,300,"South Indian, Street Food, Chinese, Fast Food",3.7,34,26.909478200000002,75.8025021
C Scheme,Kalkatta Chat Bhandar,"Gate 5, Opposite Van Bhavan And Krishi Bhawan Secretariat, C Scheme, Jaipur",Quick Bites,250,Street Food,3.7,29,26.9025152,75.8010151
C Scheme,Jaipur Grill Restaurant,"F-10, Jamna Lal Bajaj Marg, C Scheme, Jaipur",Quick Bites,500,"North Indian, Chinese",3.3,30,26.90677,75.795361
C Scheme,Maria's cafe,"F-177B, Shubhash Marg, C Scheme, Jaipur",Quick Bites,300,"Fast Food, North Indian",3.4,32,26.8898071,75.7939272
C Scheme,Wishk,"J 33, 1st Floor, Bagadiya Bhawan, Subhash Marg, C Scheme, Jaipur",,500,Bakery,3.3,21,26.9078401,75.7991437
C Scheme,Gupta's Food Point,"4, Near Bagadia Bhawan, Subhash Marg, C Scheme, Jaipur",,300,North Indian,3.4,33,26.9085815,75.79982120000001
C Scheme,Paan Cafè,"Opposite Government Press, Sardar Patel Marg, C Scheme, Jaipur",Paan Shop,100,Paan,2.8,35,26.915156,75.80050899999998
